project,desc,assigned to,reported by,category,priority
Smart Jewel,ask about invoice rate issue,Heta,reception,Report,high
Smart Jewel,diamond stock issue,jaytur,reception,Support,high
Smart Jewel,tag changes issue,Sajeda,reception,Support,high
Smart Jewel,rate chart issue,Sajeda,reception,Support,high
Smart Jewel,tag qr code issue,jaytur,reception,Support,high
Smart Jewel,print out balance issue ,Jagruti,reception,Report,high
Smart Jewel,print preview amount issue in invoice,shubham,reception,Report,high
SJE Plus,old data need in backup,yogita,reception,Support,high
SJE Plus,repair entry and platinum entry issue,jaytur,reception,Support,high
Smart Jewel,production item receive issue and account issue and stock rate update issue,Heta,reception,Support,high
Smart Jewel,ask about production loss gold how to show in row material ,shubham,reception,Support,high
Smart Jewel,client address  not show in invoice,Heta,reception,Report,high
Smart Jewel,diamond purchase size add issue,krishna,reception,Support,high
SJE Plus,software update,Sajeda,reception,Support,high
SJE Plus,receive voucher make,drashti,reception,Report,high
Smart Jewel,tag issue,Jagruti,reception,Support,high
Smart Jewel,diamond report issue,Jagruti,reception,Report,high
SJE Plus,metal purchase loss issue,shubham,reception,Support,high
Smart Jewel,sql installation And Data Restore As Per Mail,sarika,sarika,Installation,V.Urgent
Smart Jewel,color stone save issue ,ashit,reception,Support,high
Smart Jewel,report import,drashti,reception,Report,high
SJE Plus,Finalize Procedure Total Diamond Round Off,krishna,sarika,New Req,V.Urgent
SJE Plus,diamond report issue,krishna,reception,Support,high
Smart Jewel,tag issue,Sajeda,reception,Support,high
SJE Plus,Demo Server Installtion,yogita,yogita,Installation,V.Urgent
Smart Jewel,ask about fg excel export issue and finding Wight not show in invoice,Sajeda,reception,Support,high
Smart Jewel,invoice changes,Heta,reception,Report,high
Smart Jewel,invoice gst not show,drashti,reception,Report,V.Urgent
SJE Plus,diamond report issue,sarika,reception,Support,high
SJE Plus,bag movement issue,shubham,reception,Support,high
SJE Plus,ask about bar code scan stock report,gaurav,reception,Support,high
Smart Jewel,job work issue,krishna,reception,Support,high
SJE Plus,purchase excel color stone add ,Sajeda,reception,Support,high
SJE Plus,setting worker issue,prakash,reception,Support,high
Smart Jewel,print part issue,Heta,reception,Report,high
Smart Jewel,quotation report issue,Jagruti,reception,Report,high
Smart Jewel,row material formula not add ,shubham,reception,Support,high
SJE Plus,node installation,yogita,reception,Support,high
Smart Jewel,party diamond out issue,ashit,reception,Support,high
SJE Plus,tag printer sat,drashti,reception,Report,high
Smart Jewel,tag quality add issue,yogita,reception,Support,high
Smart Jewel,pending status diamond loss issue,vipul,reception,Support,high
Smart Jewel,node installation,yogita,reception,Support,high
Smart Jewel,item grossed Wight print issue and tag issue,drashti,reception,Report,V.Urgent
SJE Plus,bag print data not show,Heta,reception,Report,high
Smart Jewel,excel export issue,yogita,reception,Support,high
Smart Jewel,entry issue,gaurav,reception,Support,high
SJE Plus,sales memo stock error,sarika,reception,Support,high
Smart Jewel,standard Importer issue,Sajeda,reception,Support,high
Smart Jewel,old sales return issue,sarika,reception,Support,high
SJE Plus,data base error,sarika,reception,Support,high
Smart Jewel,software slow,vipul,reception,Support,high
Smart Jewel,tag list issue,yogita,reception,Support,high
Smart Jewel,diamond rate report issue,drashti,reception,Report,high
SJE Plus,As per mail fixed report issue,drashti,drashti,Report,V.Urgent
Smart Jewel,tag issue,krishna,reception,Support,high
SJE Plus,igi charge not show,Krupa,reception,Report,V.Urgent
SJE Plus,repairing bag oroder transfer issue,krishna,reception,Support,high
SJE Plus,print error,Heta,reception,Report,high
Smart Jewel,party diamond invoice issue,Heta,reception,Support,high
Smart Jewel,print issue,drashti,reception,Report,high
Smart Jewel,tag print issue,prakash,reception,Support,high
Smart Jewel,software installation ,yogita,reception,Support,V.Urgent
SJE Plus,As Per Given By Ketansir update rates utility how to work And Run New  setup and update,sarika,sarika,New Req,V.Urgent
Smart Jewel,installation,Heta,reception,Support,V.Urgent
Smart Jewel,software close,yogita,reception,Support,high
SJE Plus,design report issue,krishna,reception,Support,high
SJE Plus,material stock issue,sarika,reception,Support,high
Smart Jewel,ask about color stone,prakash,reception,Support,high
Smart Jewel,platinum master issue,jaytur,reception,Support,high
Smart Jewel,new metal add in master,prakash,reception,Support,high
SJE Plus,Implement,gaurav,reception,Support,high
Smart Jewel,quotation print issue,drashti,reception,Report,high
Smart Jewel,bag print image not show issue ,Jagruti,reception,Report,high
Smart Jewel,bag printing option not show in report ,Heta,reception,Report,high
Smart Jewel,layout name change issue,yogita,reception,Support,high
Smart Jewel,as per mail new report create,Jagruti,reception,Report,V.Urgent
Smart Jewel,chain purchase issue,sarika,reception,Support,high
Smart Jewel,alloy purchase issue,shubham,reception,Support,high
Smart Jewel,software close,yogita,reception,Support,V.Urgent
SJE Plus,ask about working features ,krishna,reception,Support,high
Smart Jewel,take server back up ,Janvi,reception,Support,high
Smart Jewel,jewelry purchase rate update,ashit,reception,Support,high
Smart Jewel,software installation,yogita,reception,Support,V.Urgent
Smart Jewel,report problem,drashti,reception,Report,high
Smart Jewel,transection issue,shubham,reception,Support,high
SJE Plus,in credit note party name issue,Heta,reception,Report,high
Smart Jewel,rate update,gaurav,reception,Support,high
Smart Jewel,invoice column changes,Heta,reception,Report,high
SJE Plus,diamond conversion issue,vipul,reception,Support,high
Smart Jewel,software installation,yogita,reception,Support,V.Urgent
SJE Plus,loss recovery issue,sarika,reception,Support,high
SJE Plus,billing invoice issue,Heta,reception,Report,high
SJE Plus,making charges issue,Jagruti,reception,Support,high
SJE Plus,software close,yogita,reception,Support,high
Smart Jewel,brokerage master name change ,krishna,reception,Support,high
Smart Jewel,ledger report gold weight issue,reception,reception,Report,high
SJE Plus,book make,shubham,reception,Support,high
Smart Jewel,setting rate update ,Sajeda,reception,Support,V.Urgent
Smart Jewel,product size issue,jaytur,reception,Support,high
Smart Jewel,master 18 caret issue,shubham,reception,Support,high
Smart Jewel,fg out issue,reception,reception,Support,high
SJE Plus,packing list issue,drashti,reception,Report,high
SJE Plus,exchange delivery date issue,Jagruti,reception,Report,high
SJE Plus,bag generate date issue,sarika,reception,Support,high
SJE Plus,style master layout select error,sarika,reception,Support,high
SJE Plus,tag print issue,krishna,reception,Support,high
SJE Plus,karigar ledger labour show issue,Sajeda,reception,Support,high
Smart Jewel,invoice tax changes,drashti,reception,Report,high
SJE Plus,need format options in job bags,drashti,reception,Report,high
Smart Jewel,in invoice net weight and gross weight issue,Krupa,reception,Report,V.Urgent
SJE Plus,report problem,Jagruti,reception,Report,high
SJE Plus,software close,yogita,reception,Support,high
SJE Plus,node installation,yogita,reception,Support,high
SJE Plus,style master details not found and style master issue,sarika,reception,Support,high
Smart Jewel,chain entry issue,krishna,reception,Support,high
Smart Jewel,ring size add,vipul,reception,Support,high
Smart Jewel,update copy file error,Sajeda,reception,Support,V.Urgent
Smart Jewel,stock report filter add issue,krishna,reception,Support,high
SJE Plus,bag split issue,shubham,reception,Support,high
SJE Plus,in report total difference issue,Jagruti,reception,Report,high
SJE Plus,job card diamond not show in print,Heta,reception,Report,high
SJE Plus,hide field issue,shubham,reception,Support,high
Smart Jewel,vendor create with gst ,shubham,reception,Support,high
Smart Jewel,query,shubham,reception,Support,high
SJE Plus,tag issue,sarika,reception,Support,high
SJE Plus,hsn no issue,prakash,reception,Support,high
SJE Plus,payment settlment show isuse,krishna,reception,Support,high
SJE Plus,Packing Lisr as Per Mail,Jagruti,sarika,Report,med
SJE Plus,report problem,Heta,reception,Report,high
SJE Plus,tag margin change,krishna,reception,Support,high
SJE Plus,print format create,Jagruti,reception,Report,high
SJE Plus,dashboard report,jaytur,reception,Support,high
SJE Plus,bag print format customer name add,drashti,reception,Report,high
SJE Plus,software close,Jagruti,reception,Support,V.Urgent
Smart Jewel,software update,yogita,reception,Support,high
SJE Plus,image upload issue,shubham,reception,Support,high
Smart Jewel,bag print image issue,yogita,reception,Report,high
SJE Plus,excel inward making issue,shubham,reception,Support,V.Urgent
SJE Plus,master rate update issue,Sajeda,reception,Support,high
Smart Jewel,quotation dollar issue,Heta,reception,Report,high
Smart Jewel,diamond quality add issue,krishna,reception,Support,high
Smart Jewel,transection report issue,sarika,reception,Support,V.Urgent
Smart Jewel,transection report issue,sarika,reception,Support,high
Smart Jewel,bag save issue,Sajeda,reception,Support,high
Smart Jewel,tag diamond peace add issue,Sajeda,reception,Support,high
Smart Jewel,server close,yogita,reception,Support,V.Urgent
SJE Plus,As per mail report modify,drashti,drashti,Report,high
Smart Jewel,jewel code issue,Sajeda,reception,Support,high
Smart Jewel,jewelry split issue,krishna,reception,Support,high
Smart Jewel,metal stock issue,krishna,reception,Support,high
Smart Jewel,making charges wastage option not show,ashit,reception,Support,high
SJE Plus,in debit note party name change,drashti,reception,Report,high
Smart Jewel,voucher bill issue,Heta,reception,Support,high
SJE Plus,loss report 18 carat isuse,Sajeda,reception,Support,high
SJE Plus,entry error,shubham,reception,Support,high
SJE Plus,proforma invoice peaces issue,Heta,reception,Support,high
Smart Jewel,quotation issue,drashti,reception,Report,high
Smart Jewel,ask about packing list issue,vipul,reception,Support,high
SJE Plus,WIP image issue and karigar receive issue,sarika,reception,Support,high
Smart Jewel,gold rate issue,Sajeda,reception,Support,high
Smart Jewel,bill format change ,Jagruti,reception,Report,high
SJE Plus,labour invoice preview issue,drashti,reception,Report,high
Smart Jewel,network path open issue,Jagruti,reception,Support,high
Smart Jewel,client master client manufacture issue,gaurav,reception,Support,V.Urgent
Smart Jewel,pdf file issue,Heta,reception,Report,high
SJE Plus,format changes,Heta,reception,Report,high
Smart Jewel,software close,Jagruti,reception,Support,V.Urgent
Smart Jewel,bard code update issue,gaurav,reception,Support,high
Smart Jewel,image path set issue,Heta,reception,Report,V.Urgent
Smart Jewel,gst invoice issue,Heta,reception,Report,high
SJE Plus,master 18 carat issue,shubham,reception,Support,high
Smart Jewel,bill format issue,drashti,reception,Report,V.Urgent
SJE Plus,item code create issue,krishna,reception,Support,high
Smart Jewel,transection no delete issue and recovery issue,Sajeda,reception,Support,high
SJE Plus,certificate changes,Jagruti,reception,Report,high
Smart Jewel,branch file size issue and mail not going,Sajeda,reception,Support,high
Smart Jewel,order report issue,Heta,reception,Report,high
Smart Jewel,job work purchase invoice issue,Jagruti,reception,Report,V.Urgent
Smart Jewel,diamond peace weight 3 digit add,shubham,reception,Support,high
Smart Jewel,software close,drashti,reception,Support,V.Urgent
Smart Jewel,approval stock purchase issue,krishna,reception,Support,high
Smart Jewel,print preview change issue,Heta,reception,Report,high
SJE Plus,base metal issue,Sajeda,reception,Support,high
Smart Jewel,quantity Coolum add in quotation report ,Heta,reception,Report,high
Smart Jewel,stock report issue,vipul,reception,Support,high
Smart Jewel,pyority change issue and party goods return book create,gaurav,reception,Support,high
SJE Plus,software close,Jagruti,reception,Support,high
SJE Plus,Export Invoice Sample New Requirement ,reception,sarika,Report,high
Smart Jewel,profit margin report issue ,shubham,reception,Support,V.Urgent
Smart Jewel,backup restore ,jaytur,reception,Support,high
SJE Plus,item category change,shubham,reception,Support,V.Urgent
SJE Plus,report in change,yogita,reception,Report,V.Urgent
Smart Jewel,software install ,krishna,reception,Support,V.Urgent
Smart Jewel,financial year generated  issue,Sajeda,reception,Support,V.Urgent
SJE Plus,entry rate update issue and memo id order not show in new software,Sajeda,reception,Support,high
Smart Jewel,wip report issue,Heta,reception,Support,high
Smart Jewel,gold entry issue,sarika,reception,Support,high
Smart Jewel,sale addles sat up ,jaytur,reception,Support,high
SJE Plus,party sales report issue,Heta,reception,Report,high
Smart Jewel,purchase file jewels code issue (New Year Generate),krishna,reception,Support,high
Smart Jewel,invoice issue,drashti,reception,Report,high
Smart Jewel,new order process issue,krishna,reception,Support,high
Smart Jewel,jewelry stock issue,sarika,reception,Support,high
SJE Plus,software close,sarika,reception,Support,V.Urgent
Smart Jewel,server print issue,Jagruti,reception,Report,high
SJE Plus,print error,Heta,reception,Report,high
Smart Jewel,sale peace issue,sarika,reception,Support,high
Smart Jewel,inward issue,krishna,reception,Support,high
Smart Jewel,software close,Janvi,reception,Support,V.Urgent
Smart Jewel,ask about same design no issue,krishna,reception,Support,high
SJE Plus,date extend and jewellery manufactring issue,krishna,reception,Support,high
Smart Jewel,object reference not set issue,Sajeda,reception,Support,high
Smart Jewel,order quantity issue,ashit,reception,Support,high
Smart Jewel,entry log entry check issue,krishna,reception,Support,high
Smart Jewel,transection date issue,sarika,reception,Support,high
Smart Jewel,sale return issue,krishna,reception,Support,high
SJE Plus,stock - issue,shubham,reception,Support,high
Smart Jewel,installation and tag print issue,Jagruti,reception,Support,high
Smart Jewel,branch transfer issue,jaytur,reception,Support,high
Smart Jewel,packing list export issue,Heta,reception,Report,V.Urgent
Smart Jewel,order bag generate print  issue,yogita,reception,Report,high
Smart Jewel,tag format changes and invoice igi charges issue,reception,reception,Report,high
SJE Plus,Installation as per whats app group,ashit,reception,Support,high
SJE Plus,bag diamond issue,shubham,reception,Support,high
Smart Jewel,Software Update (Script Run Monday),krishna,reception,Support,V.Urgent
SJE Plus,New Tag Create,sarika,sarika,Tag,V.Urgent
Smart Jewel,report issue,Jagruti,reception,Report,high
Smart Jewel,installation,Sajeda,reception,Support,high
Smart Jewel,rate pick up issue,vipul,reception,Support,high
Smart Jewel,production loss report issue,shubham,reception,Support,high
Smart Jewel,how to show sale party report ,krishna,reception,Support,high
SJE Plus,import issue,Sajeda,reception,Support,high
Smart Jewel,tag print issue,Jagruti,reception,Report,V.Urgent
Smart Jewel,gold entry level issue,Sajeda,reception,Support,high
Smart Jewel,report issue,drashti,reception,Report,high
Smart Jewel,software update,yogita,reception,Support,high
Smart Jewel,master error,vipul,reception,Support,high
Smart Jewel,approval sales bill issue,shubham,reception,Report,high
Smart Jewel,packing list changes,Jagruti,reception,Report,high
SJE Plus,excel import error,Sajeda,reception,Support,high
Smart Jewel,bag printing option issue,shubham,reception,Report,high
Smart Jewel,diamond quality issue,Sajeda,reception,Support,high
Smart Jewel,software close,Janvi,reception,Support,V.Urgent
SJE Plus,network print path sat,Janvi,reception,Report,V.Urgent
Smart Jewel,sales return party name issue,shubham,reception,Support,high
Smart Jewel,Need to export in Excel but error showing,Krupa,reception,Support,high
SJE Plus,installation,yogita,reception,Support,V.Urgent
Smart Jewel,purchase diamond entry level isuse,krishna,reception,Support,high
Smart Jewel,installation,yogita,reception,Support,high
SJE Plus,metal issue and gst add issue,vipul,reception,Support,high
SJE Plus,design estimate  gold rate not show,Heta,reception,Support,high
SJE Plus,czrd in pcs Not Add Issue,yogita,reception,Support,high
Smart Jewel,custom order size add issue,krishna,reception,Support,high
SJE Plus,packing list wrong image issue,sarika,reception,Report,high
Smart Jewel,website image issue,jaytur,reception,Support,high
Smart Jewel,tag printing issue,drashti,reception,Report,high
SJE Plus,layout change,Heta,reception,Report,high
SJE Plus,metal issue,gaurav,reception,Support,high
Smart Jewel,report migration,drashti,reception,Report,high
Smart Jewel,in report gst issue,drashti,reception,Report,high
Smart Jewel,bar cord issue,drashti,reception,Support,high
SJE Plus,in quotation report size not show in print ,Heta,reception,Report,high
SJE Plus,invoice print issue,Sajeda,reception,Report,high
SJE Plus,book account change,krishna,reception,Support,high
SJE Plus,report without gst,drashti,reception,Report,high
Smart Jewel,order book report layout issue,Jagruti,reception,Report,high
Smart Jewel,diamond color quality add,shubham,reception,Support,high
Smart Jewel,stone rate not show in invoice,yogita,reception,Report,V.Urgent
SJE Plus,main master raw material entry issue,shubham,reception,Support,high
Smart Jewel,bag print changes issue,drashti,reception,Report,high
Smart Jewel,software close,yogita,reception,Support,V.Urgent
SJE Plus,inward issue(urgent),jaytur,reception,Support,V.Urgent
Smart Jewel,tag problem,krishna,reception,Support,high
SJE Plus,server installation and bag print issue,Jagruti,reception,Support,high
Smart Jewel,node installation,Heta,reception,Support,high
Smart Jewel,order edit issue,krishna,reception,Support,V.Urgent
SJE Plus,packing list changes,Jagruti,reception,Report,high
Smart Jewel,image not style master issue,yogita,reception,Support,high
Smart Jewel,entry save issue,yogita,reception,Support,high
Smart Jewel,book create issue,yogita,reception,Support,high
Smart Jewel,tag gross weight net weight issue,Heta,reception,Report,high
Smart Jewel,certificate charge issue ,Sajeda,reception,Support,high
Smart Jewel,tag print report  issue,yogita,reception,Support,high
Smart Jewel,cash voucher book problem,Sajeda,reception,Support,high
SJE Plus,repair entry level issue,gaurav,reception,Support,high
Smart Jewel,style master issue,shubham,reception,Support,V.Urgent
SJE Plus,tag print problem,Heta,reception,Report,V.Urgent
SJE Plus,order related problem,sarika,reception,bug,high
SJE Plus,tag print error,Heta,reception,Report,high
Smart Jewel,ask about approval category wise show,krishna,reception,Support,high
Smart Jewel,fix voucher ledger with stock print,krishna,reception,Report,high
Smart Jewel,ask about bag finalize issue and net Wight issue,reception,reception,Support,high
SJE Plus,new format create in material purchase,yogita,reception,Report,high
SJE Plus,software close,Janvi,reception,Support,high
SJE Plus,NEW REPORTS SET UP IN NEW GATI ERP as per mail,drashti,sarika,Report,high
SJE Plus, jewel code and client name add order style moment,krishna,reception,Support,high
SJE Plus,client color stone receive issue,reception,reception,Support,high
Smart Jewel,memo total issue,Jagruti,reception,Report,high
Smart Jewel,igi formula change issue,sarika,reception,Support,high
Smart Jewel,finalize bag delete issue,yogita,reception,Support,high
SJE Plus,Images of jewellery items is not showing in billing,Jagruti,reception,Report,high
Smart Jewel,bag delete issue,vipul,reception,Support,high
SJE Plus,certificate issue,Jagruti,reception,Report,high
SJE Plus,back up restore issue,gaurav,reception,Support,high
Smart Jewel,image not show in stock item ,krishna,reception,Support,high
SJE Plus,bag details not show,Sajeda,reception,Support,high
Smart Jewel,packing list PDF and image issue,drashti,reception,Report,high
Smart Jewel,diamond quotation issue,krishna,reception,Support,high
Smart Jewel,kundali gold mrp add issue,reception,reception,Support,high
Smart Jewel,invoice issue,Heta,reception,Report,high
Smart Jewel,how to show gold report,prakash,reception,Support,high
Smart Jewel,image not show in memo and purchase book format add,Heta,reception,Report,high
Smart Jewel,tag print issue,Jagruti,reception,Report,high
Smart Jewel,barcode error,krishna,reception,Support,high
Smart Jewel,order format add in report ,Heta,reception,Report,high
SJE Plus,print format changes,krishna,reception,Report,V.Urgent
SJE Plus,server close,yogita,reception,Support,V.Urgent
Smart Jewel,tag print issue,Heta,reception,Report,high
SJE Plus,main master size untick,chiranjiv,reception,Support,high
SJE Plus,software close,yogita,reception,Support,high
SJE Plus,in order carat add,Sajeda,reception,Support,high
SJE Plus,print page add,Heta,reception,Report,high
Smart Jewel,main master issue,shubham,reception,Support,V.Urgent
Smart Jewel,bag image issue,Heta,reception,Report,high
Smart Jewel,gold Wight issue,vipul,reception,Support,high
SJE Plus,features training ,Sajeda,reception,Support,high
Smart Jewel,print issue,yogita,reception,Report,high
Smart Jewel,tcs tax add,gaurav,reception,Support,high
Smart Jewel,tcs tax add and report changes,krishna,reception,Support,V.Urgent
Smart Jewel,diamond issue after bag generate issue,Sajeda,reception,Support,high
Smart Jewel,master size change sisue,jaytur,reception,Support,V.Urgent
Smart Jewel,software installation,yogita,reception,Support,V.Urgent
SJE Plus,layout changes,Sajeda,reception,Support,high
Smart Jewel,software close,yogita,reception,Support,V.Urgent
Smart Jewel,sales bill gold rete issue,Jagruti,reception,Report,high
Smart Jewel,client master update issue and peace approval issue,reception,reception,Support,V.Urgent
SJE Plus,software close,yogita,reception,Support,high
Smart Jewel,gold rate estimate print issue,Heta,reception,Report,high
SJE Plus,sale report wastage issue,Jagruti,reception,Report,high
Smart Jewel,tag issue,drashti,reception,Report,high
Smart Jewel,invoice making in dollar,vipul,reception,Support,V.Urgent
Smart Jewel,material report changes issue ,Heta,reception,Report,high
Smart Jewel,quotation make in dollar,prakash,reception,Support,high
Smart Jewel,ask about color stone purchase return ,shubham,reception,Support,high
Smart Jewel,approval aging issue,krishna,reception,Support,high
Smart Jewel,purchase invoice in dealer  bill date issue,Jagruti,reception,Report,high
Smart Jewel,diamond rate issue in invoice,Heta,reception,Report,high
Smart Jewel,leger stock report issue,Jagruti,reception,Report,high
Smart Jewel,packing list remark not show in report ,Jagruti,reception,Report,high
Smart Jewel,job no details delete issue,krishna,reception,Support,high
Smart Jewel,labor valuation issue,Sajeda,reception,Support,high
Smart Jewel,profit margin report issue ,Heta,reception,Report,high
SJE Plus,report file not found,Heta,reception,Report,V.Urgent
SJE Plus,approval 18 carat issue,sarika,reception,Report,high
SJE Plus,order format sat,drashti,reception,Report,high
Smart Jewel,opening balance change issue,sarika,reception,Support,high
Smart Jewel,billing report issue,Heta,reception,Report,high
SJE Plus,report changes,Jagruti,reception,Report,high
Smart Jewel,node installation ,prakash,reception,Support,V.Urgent
Smart Jewel,Need to create one more cash book,Sajeda,reception,Support,high
Smart Jewel,tcs tax add in invoice print,Heta,reception,Report,high
SJE Plus,style master manufacturing no.issue,sarika,reception,Support,high
SJE Plus,software close,yogita,reception,Support,high
Smart Jewel,size delete in size chart,shubham,reception,Support,V.Urgent
Smart Jewel,packing list problem,drashti,reception,Report,high
Smart Jewel,discount not show in web site,jaytur,reception,Support,high
Smart Jewel,importer data save issue,shubham,reception,Support,V.Urgent
Smart Jewel,jewelry inward report issue ,Jagruti,reception,Report,high
Smart Jewel,tag print issue,drashti,reception,Report,high
Smart Jewel,silver purchase issue,Sajeda,reception,Support,high
Smart Jewel,invoice changes,drashti,reception,Report,high
SJE Plus,software close,yogita,reception,Support,V.Urgent
Smart Jewel,jewel code issue and self repair issue,shubham,reception,Support,high
Smart Jewel,wip report category issue,krishna,reception,Support,high
Smart Jewel,tax add in invoice ,Heta,reception,Report,high
SJE Plus,purchase alloy ,shubham,reception,Support,high
Smart Jewel,user right not show in user,shubham,reception,Support,high
Smart Jewel,sales invoice and quotation issue,drashti,reception,Report,high
Smart Jewel,rate master report ,sarika,reception,Report,high
SJE Plus,transaction issue,shubham,reception,Support,high
SJE Plus,Installation,yogita,reception,Support,high
SJE Plus,print problem,reception,reception,Report,high
Smart Jewel,software installation,Janvi,reception,Support,V.Urgent
SJE Plus,loan restrict issue,Sajeda,reception,Support,high
Smart Jewel,gold loss add ,sarika,reception,Support,high
Smart Jewel,diamond total in out report make,Jagruti,reception,Report,high
Smart Jewel,mis report issue,vipul,reception,Support,high
Smart Jewel,quotation weight issue and back up issue,Heta,reception,Report,high
Smart Jewel,quotation serial no. issue,Heta,reception,Report,high
Smart Jewel,ask about party order quotation issue,krishna,reception,Support,high
Smart Jewel,gold weight not show in tag print,jaytur,reception,Support,high
Smart Jewel,Installation,yogita,reception,Support,high
SJE Plus,accessories price change issue,sarika,reception,Support,high
SJE Plus,recovery issue,Sajeda,reception,Support,high
SJE Plus,labour 0 issue,sarika,reception,Support,high
SJE Plus,drd permission issue,Sajeda,reception,Support,high
SJE Plus,As Per Mail Order Group Validation Require,sarika,sarika,Support,V.Urgent
SJE Plus,invoice rounding not show,drashti,reception,Report,V.Urgent
SJE Plus,print problem,jaytur,reception,Report,V.Urgent
SJE Plus,packing list color not show,drashti,reception,Report,high
SJE Plus,branch file transfer issue,krishna,reception,Support,high
SJE Plus,metal purity add,shubham,reception,Support,high
SJE Plus,As per Our discussion Do this Report Work,Heta,reception,Support,V.Urgent
SJE Plus,order bag no.not show,gaurav,reception,Support,high
Smart Jewel,metal sale report issue,Heta,reception,Report,high
Smart Jewel,f2 f8 function oprate issue,yogita,reception,Support,high
SJE Plus,tag print issue,jaytur,reception,Support,V.Urgent
Smart Jewel,sale return option issue,shubham,reception,Support,high
Smart Jewel,party name issue,prakash,reception,Support,V.Urgent
SJE Plus,inward issue,shubham,reception,Support,V.Urgent
Smart Jewel,igst cgst issue,shubham,reception,Support,high
SJE Plus,installation,yogita,reception,Support,high
SJE Plus,bag watch issue,vipul,reception,Support,high
Smart Jewel,order no. issue,krishna,reception,Support,high
Smart Jewel,software close,yogita,reception,Support,high
SJE Plus,multiple ledger with stock error,krishna,reception,Support,high
Smart Jewel,report problem,Jagruti,reception,Report,V.Urgent
SJE Plus,transaction entry save issue,krishna,reception,Support,high
Smart Jewel,export invoice column add,reception,reception,Report,V.Urgent
SJE Plus,job sheet stock - issue,Sajeda,reception,Support,high
SJE Plus,software update,krishna,reception,Support,high
Smart Jewel,diamond broken issue,shubham,reception,Support,high
SJE Plus,entry level issue,Sajeda,reception,Support,high
SJE Plus,terms and condition add in report,Heta,reception,Report,high
Smart Jewel,stock delete issue,shubham,reception,Support,V.Urgent
Smart Jewel,image path sat,yogita,reception,Support,high
Smart Jewel,backup error,yogita,reception,Support,V.Urgent
Smart Jewel,backup restore,Janvi,reception,Support,high
Smart Jewel,excel format changes,Jagruti,reception,Report,high
Smart Jewel,software close,yogita,reception,Support,high
Smart Jewel,rfid issue,vipul,reception,Support,high
Smart Jewel,item add,chiranjiv,reception,Support,high
SJE Plus,tax invoice issue,Krupa,reception,Report,V.Urgent
Smart Jewel,quotation issue,drashti,reception,Report,high
SJE Plus,sync error,yogita,reception,Support,high
Smart Jewel,tag printing issue,Jagruti,reception,Report,high
SJE Plus,sale bill problem,sarika,reception,Report,high
SJE Plus,internal space error,shubham,reception,Support,V.Urgent
SJE Plus,software close,Janvi,reception,Support,high
Smart Jewel,bag color stone add,krishna,reception,Support,high
SJE Plus,installation,yogita,reception,Support,high
SJE Plus,installation,yogita,reception,Support,high
Smart Jewel,software update,yogita,reception,Support,high
SJE Plus,cz return permission ,shubham,reception,Support,V.Urgent
SJE Plus,software close,yogita,reception,Support,high
SJE Plus,wip report total remove,shubham,reception,Support,V.Urgent
Smart Jewel,after update issue,ketan,reception,Support,high
Smart Jewel,bag finalise save issue,krishna,reception,Support,high
SJE Plus,refinery issue,shubham,reception,Support,high
SJE Plus,report problem as per whats up group,Krupa,reception,Report,high
Smart Jewel,software close issue,shubham,reception,Support,V.Urgent
SJE Plus,sale wastage issue,sarika,reception,Support,V.Urgent
SJE Plus,entry level issue,krishna,reception,Support,high
SJE Plus,color stone book make,yogita,reception,Support,high
Smart Jewel,in rtp wax weight add,Sajeda,reception,Support,high
Smart Jewel,new order color issue,krishna,reception,Support,high
Smart Jewel,image not show in invoice,drashti,reception,Report,high
Smart Jewel,bag transfer inward issue,chiranjiv,reception,Support,high
Smart Jewel,recovery entry issue,shubham,reception,Support,high
Smart Jewel,estimate report issue,drashti,reception,Report,high
SJE Plus,installation,krishna,reception,Support,high
SJE Plus,order save issue,prakash,reception,Support,high
Smart Jewel,sales report issue,Jagruti,reception,Report,high
SJE Plus,approval issue,drashti,reception,Report,high
Smart Jewel,party receive issue,ashit,reception,Support,high
Smart Jewel,silver item add issue,Sajeda,reception,Support,high
Smart Jewel,sales return print out issue,Heta,reception,Report,high
SJE Plus,gold calculation issue,sarika,reception,Support,high
Smart Jewel,invoice issue,Jagruti,reception,Report,V.Urgent
SJE Plus,in report total weight issue,drashti,reception,Report,V.Urgent
Smart Jewel,bag setting issue,gaurav,reception,Support,V.Urgent
SJE Plus,repair sale issue,krishna,reception,Support,V.Urgent
SJE Plus,quotation problem,sarika,reception,Report,high
Smart Jewel,ask about wip report ,reception,reception,Support,high
Smart Jewel,entry issue ,prakash,reception,Support,high
SJE Plus,layout changes,Heta,reception,Report,high
SJE Plus,order problem,prakash,reception,Support,high
Smart Jewel,purchase inward issue,Sajeda,reception,Support,high
Smart Jewel,report color stone details remove issue,drashti,reception,Report,high
Smart Jewel,silver issue and addles sat ,yogita,reception,Support,high
Smart Jewel,repair bill issue,Jagruti,reception,Report,high
SJE Plus,sale bill export issue,sarika,reception,bug,high
SJE Plus,software close,yogita,reception,Support,high
Smart Jewel,image not show in report,Jagruti,reception,Report,high
SJE Plus,slide show format change,Heta,reception,Report,high
Smart Jewel,invoice issue,drashti,reception,Report,high
Smart Jewel,gold rate issue,jaytur,reception,Support,high
SJE Plus,Direct Call,drashti,drashti,Report,V.Urgent
Smart Jewel,software storage issue,Jagruti,reception,Support,high
