project,desc,category,priority,assign to
Smart Jewel,ask about handling charges not show in in invoice,Report,Low,Heta
Smart Jewel,sales report in voice no issue,Report,Low,Jagruti
Smart Jewel,last customer sale details issue,Support,high,jaytur
SJE Plus,making diamond entry issue,Support,high,sarika
SJE Plus,bill print issue,Report,Low,yogita
SJE Plus,purchase book labor issue and diamond purchase report issue,Support,high,krishna
SJE Plus,party diamond color stone receive issue in entry,Support,high,Heta
SJE Plus,diamond rate not show in tag,Report,Low,drashti
SJE Plus,software update,Support,high,yogita
SJE Plus,software install ,Support,V.Urgent,drashti
Smart Jewel,ask about quotation report issue,Report,Low,Heta
SJE Plus,customer name not show ,Support,high,Heta
Smart Jewel,ask about party cash payment entry issue,Support,high,Sajeda
SJE Plus,client master issue ,Support,high,Sajeda
Smart Jewel,format changes,Report,Low,Heta
SJE Plus,ask about material transfer ,Support,high,Sajeda
SJE Plus,Query As per mail,Support,high,shubham
Smart Jewel,party inward issue,Support,high,sarika
SJE Plus,ask about melting issue,Support,high,Sajeda
Smart Jewel,jewellery sale stock issue,Support,high,shubham
SJE Plus,catlogue image issue,Report,Low,Jagruti
SJE Plus,Installation and backup restore,Support,V.Urgent,yogita
SJE Plus,importer open issue,Support,high,krishna
SJE Plus,tax invoice and payment receipt changes,Report,Low,yogita
Smart Jewel,master client name add issue,Support,high,yogita
Smart Jewel,bill delete issue,Support,high,yogita
Smart Jewel,style master add issue and new tag issue,Support,high,drashti
SJE Plus,IIS & Right Hand Installation,Installation,high,vipul
Smart Jewel,server pc back up error ,Support,V.Urgent,yogita
Smart Jewel,software install ,Support,V.Urgent,yogita
Smart Jewel,ask about memo inward issue,Support,high,vipul
SJE Plus,software close,Support,high,yogita
Smart Jewel,invoice amount issue,Report,Low,vipul
SJE Plus,silver tag weight issue,Report,Low,drashti
Smart Jewel,tax invoice igst cgst issue,Report,Med,Heta
Smart Jewel,metal casting entry level issue,Support,high,Sajeda
Smart Jewel,software not open in server pc ,Support,high,Jagruti
Smart Jewel,bag receive issue ,Support,high,krishna
Smart Jewel,ask about log in issue,Support,high,Jagruti
SJE Plus,branch department issue ,Support,high,sarika
SJE Plus,master gold weight issue,Support,high,krishna
Smart Jewel,ask about jewel code no issue in catalog,Report,Low,drashti
Smart Jewel,in quotation diamond peaces issue,Report,Low,drashti
SJE Plus,transaction issue,Support,high,shubham
SJE Plus,WIP image issue,Support,high,gaurav
SJE Plus,igst cgst issue,Support,high,yogita
SJE Plus,order slid show report changes,Report,Low,sarika
SJE Plus,Bag Transaction Report make,Report,Low,Jagruti
Smart Jewel,rate chart issue,Support,high,Sajeda
SJE Plus,take back up,Support,high,yogita
SJE Plus,design report issue and repair entry issue,Report,Low,drashti
Smart Jewel,tag print weight issue,Support,high,Jagruti
SJE Plus,formula sat,Support,high,Sajeda
Smart Jewel,bag print bar code issue,Report,Low,Jagruti
SJE Plus,print image issue,Report,Low,yogita
SJE Plus,jewelry catlog image issue in print and diamond weight issue ,Report,Low,Heta
SJE Plus,software update,Support,high,yogita
Smart Jewel,new report create as per whats app ,Report,Low,drashti
SJE Plus,invoice summery sticker report ,Report,Low,Jagruti
Smart Jewel,node installation,Support,high,yogita
SJE Plus,software close,Support,high,yogita
Smart Jewel,credit note report issue,Report,Low,Heta
SJE Plus,report sat,Report,Low,drashti
SJE Plus,in memo inward size add issue,Report,Low,Jagruti
Smart Jewel,approval stock issue,Support,high,drashti
SJE Plus,pearl balance receive issue in report ,Support,high,Sajeda
SJE Plus,gold find not convert issue and approval location  issue,Support,high,Sajeda
SJE Plus,bag print changes,Report,Low,drashti
SJE Plus,memo inward bill tag issue,Report,Low,Heta
SJE Plus,diamond item code add in purchase ,Support,high,jaytur
SJE Plus,client master customer vender tick issue,Support,high,shubham
Smart Jewel,Design Card for Jewelry,Report,Low,vipul
SJE Plus,Fwd: FW: Standardize format of packing list for Caratlane,Report,Low,sarika
SJE Plus,gold entry issue,Support,high,krishna
SJE Plus,software close,Support,V.Urgent,yogita
SJE Plus,in certificate net weight issue,Report,Low,krishna
SJE Plus,ask about cut off or year date extend,Support,high,drashti
Smart Jewel,software close,Support,high,yogita
SJE Plus,metal entry settlement issue,Support,high,Sajeda
SJE Plus,memory full error,Support,high,Janvi
Smart Jewel,bill print issue,Report,Low,Heta
SJE Plus,tax invoice issue ,Report,Low,drashti
SJE Plus,master file import issue,Support,high,krishna
Smart Jewel,meena kundan entry issue,Support,high,Sajeda
Smart Jewel,jewelry stock as on issue and leger silver not show,Support,high,krishna
Smart Jewel,lager with stock issue,Support,high,ashit
Smart Jewel,remark issue,Support,high,Sajeda
Smart Jewel,order print issue and tag print issue,Report,Low,drashti
Smart Jewel,995 rate calculate issue,Support,high,Sajeda
Smart Jewel,back up restore,Support,high,yogita
Smart Jewel,tcs tax add,Support,high,krishna
SJE Plus,report print issue,Report,Low,Jagruti
SJE Plus,cash voucher new report create and Jobwork jama entry issue  also make chart how to create regarding comm.,Report,Low,drashti
SJE Plus,sales package  format issue,Report,Low,Jagruti
SJE Plus,style master add,Support,high,gaurav
SJE Plus,black beats color stone issue,Support,high,prakash
Smart Jewel,style master employ name add and style master copy no auto generate issue,Support,high,jaytur
Smart Jewel,tag format issue,Report,Low,drashti
Smart Jewel,gross weight bill issue,Report,Low,drashti
SJE Plus,backup error,Support,high,yogita
Smart Jewel,customer instauration Coolum add in print,Report,Low,Heta
Smart Jewel,make new report,Report,Low,drashti
Smart Jewel,tag print issue,Report,Low,Jagruti
Smart Jewel,jewellery stock as on layout issue,Support,high,krishna
SJE Plus,stock valuation problem and production issue,Support,high,Heta
SJE Plus,node installation,Support,high,yogita
SJE Plus,excel design details issue,Support,high,Sajeda
Smart Jewel,return jewellery stock issue,Support,high,sarika
Smart Jewel,tag print issue,Report,Low,drashti
Smart Jewel,bag repair issue,Support,V.Urgent,Sajeda
Smart Jewel,data remove,Support,V.Urgent,sarika
SJE Plus,ask about diamond broken entry issue,Support,high,krishna
Smart Jewel,Installation,Support,high,Jagruti
SJE Plus,edit delete option issue,Support,high,yogita
Smart Jewel,software hang issue ,Support,V.Urgent,yogita
SJE Plus,2 reports imports and 5 books report add and also item receive book labour add,Report,Low,drashti
SJE Plus,gst3b report issue,Support,high,krishna
SJE Plus,new tag as per whats app group,Report,Low,Jagruti
SJE Plus,some queries as per whats app group,Support,V.Urgent,sarika
Smart Jewel,quotation serial no. issue ,Report,Low,yogita
Smart Jewel,finding issue,Support,high,krishna
SJE Plus,tag error,Support,high,Heta
Smart Jewel,bag issue,Support,high,vipul
Smart Jewel,leger with stock pdf diamond weight not show,Report,Low,drashti
Smart Jewel,new year generate ,Support,high,yogita
Smart Jewel,material diamond entry not show,Support,high,sarika
SJE Plus,finalise issue,Support,high,sarika
SJE Plus,in report mobile number issue,Report,Low,drashti
Smart Jewel,quotation order issue in printing,Report,Low,drashti
Smart Jewel,application open issue,Support,V.Urgent,krishna
Smart Jewel,labor rate issue and excel export issue,Support,high,Sajeda
Smart Jewel,diamond sales book create issue,Support,high,drashti
SJE Plus,style master image issue,Support,high,yogita
SJE Plus,balance sheet currency Coolum issue and manufacturing report issue  ,Support,high,shubham
Smart Jewel,All in one design report value wrong show,Report,Low,drashti
SJE Plus,net work path not found,Support,high,yogita
Smart Jewel,seals logistic option add in sms format,Support,high,Sajeda
Smart Jewel,labor formula issue,Support,high,sarika
Smart Jewel,bag split error,Support,V.Urgent,krishna
SJE Plus,in bag print image issue as per whats app group,Report,Low,drashti
SJE Plus,tag printing issue as per whats app group,Support,V.Urgent,Heta
Smart Jewel,jewels stock as on lock issue,Support,high,jaytur
SJE Plus,color entry not show in size card,Support,high,sarika
SJE Plus,software install ,Support,V.Urgent,yogita
SJE Plus,payment in out entry issue,Support,high,krishna
SJE Plus,diamond sew size entry issue,Support,V.Urgent,jaytur
SJE Plus,bag no details issue,Support,high,Sajeda
SJE Plus,sales book create issue,Support,high,yogita
SJE Plus,tag bar code issue,Report,Low,Jagruti
Smart Jewel,tax invoice issue,Report,Low,Jagruti
SJE Plus,report image issue,Report,Low,drashti
SJE Plus,bill selection issue,Report,Low,yogita
Smart Jewel,product weight less issue,Support,high,Sajeda
Smart Jewel,order printing report issue,Report,Low,Jagruti
Smart Jewel,bag finalize issue,Support,high,Sajeda
Smart Jewel,job work purchase report serial no.issue,Report,Low,drashti
SJE Plus,estimate packing list problem,Report,Low,Heta
Smart Jewel,batch no.issue and metal quality issue,Support,high,Sajeda
Smart Jewel,tag print issue,Report,Low,drashti
SJE Plus,in bill total issue ,Report,Low,drashti
Smart Jewel,metal casting issue,Support,high,vipul
SJE Plus,software not connect,Support,V.Urgent,yogita
Smart Jewel,As Per Mail Style Master Query,New Req,Med,sarika
Smart Jewel,Need JewelCode Same As Bag No for Rejection Order As Per Mail,New Req,Med,sarika
Smart Jewel,Jewelelry Acknowledge Issue,New Req,Med,sarika
Smart Jewel,jewellery sale report issue,Report,Low,Jagruti
SJE Plus,tax invoice bill issue,Report,Low,jaytur
Smart Jewel,software close,Support,high,Heta
SJE Plus,material stock as on issue,Support,high,krishna
Smart Jewel,repairing issue,Support,high,krishna
SJE Plus,bag print changes,Report,Low,Heta
Smart Jewel,self broken issue,Support,high,sarika
Smart Jewel,Diamond settlement issue,Support,high,sarika
Smart Jewel,we want to update our as per wastage of babu and labour both ,Support,high,Sajeda
Smart Jewel,day wise rate set ,Support,high,sarika
Smart Jewel,sjepsetup and software update and data restored as per mail,Support,V.Urgent,yogita
Smart Jewel,software close,Support,V.Urgent,yogita
Smart Jewel,client name remove in report  ,Report,Low,Heta
SJE Plus,job work issue,Support,high,gaurav
SJE Plus,transaction error,Support,high,Sajeda
Smart Jewel,self opening and self inward issue,Support,high,shubham
SJE Plus,item delete issue,Support,V.Urgent,shubham
SJE Plus,ledger with stock issue and diamond layout issue ,Support,high,Sajeda
SJE Plus,In Design Report Size wise details need as per whats app,Report,Low,drashti
Smart Jewel,sales return print discount add issue,Report,Low,yogita
Smart Jewel,bag finalize issue,Support,V.Urgent,sarika
Smart Jewel,metal stock issue,Support,high,sarika
SJE Plus,stock Issue,Support,high,shubham
Smart Jewel,product year change issue,Support,V.Urgent,yogita
SJE Plus,book show issue,Support,high,Sajeda
SJE Plus,how to show approval stock balance,Support,high,Sajeda
Smart Jewel,tag print issue,Support,V.Urgent,Sajeda
Smart Jewel,transaction entry error(Urgent),Support,V.Urgent,krishna
Smart Jewel,cloud slow,Support,high,vipul
Smart Jewel,stock issue,Support,high,krishna
Smart Jewel,mrp sat up issue,Support,high,sarika
SJE Plus,invoice format issue as per whats app,Report,Low,Heta
SJE Plus,software update,Support,high,yogita
SJE Plus,sheet upload issue,Support,high,krishna
Smart Jewel,metal return hsn code issue,Support,high,drashti
SJE Plus,loss % wrong issue,Support,high,sarika
SJE Plus,update script ,Support,high,Sajeda
Smart Jewel,path set,Support,high,yogita
Smart Jewel,ask about packing list company mobile no change issue,Support,V.Urgent,Sajeda
SJE Plus,design master issue,Support,high,Sajeda
SJE Plus,report path set and quotation logo issue,Report,Low,drashti
Smart Jewel,approval format set issue,Report,Low,Heta
SJE Plus,server installation,Support,high,yogita
Smart Jewel,material sales memo in gst add issue,Report,Med,drashti
Smart Jewel,in report gram total issue ,Report,Low,yogita
Smart Jewel,cash return format change in bill,Support,V.Urgent,drashti
SJE Plus,report print out changes,Report,Low,Jagruti
Smart Jewel,report part set issue,Report,Low,drashti
SJE Plus,financial date issue,Support,high,Heta
Smart Jewel,tax invoice changes,Report,Low,Heta
Smart Jewel,print issue,Report,Low,drashti
Smart Jewel,excel upload issue,Support,high,vipul
Smart Jewel,diamond cost rate and sales rate format excel issue,Support,high,Sajeda
Smart Jewel,report pdf issue,Report,Low,Jagruti
Smart Jewel,software install and report issue,Report,Low,yogita
Smart Jewel,meena report issue,Support,high,Sajeda
Smart Jewel,labor invoice issue,Report,Low,Heta
Smart Jewel,transaction stock - issue,Support,high,shubham
Smart Jewel,software update ,Support,V.Urgent,yogita
SJE Plus,software update,Support,high,yogita
SJE Plus,labor rate set issue ,Support,V.Urgent,vipul
SJE Plus,settlement entry level issue,Support,high,prakash
Smart Jewel,report not show in gold purchase in print ,Report,Low,Jagruti
Smart Jewel,leger amount issue ,Report,Low,Heta
Smart Jewel,report issue,Report,Low,drashti
SJE Plus,client wise due report not open ,Support,high,Sajeda
Smart Jewel,in tag po no.add issue,Support,high,sarika
Smart Jewel,leger pure weight issue ,Support,high,ashit
Smart Jewel,image path set issue,Report,Low,drashti
SJE Plus,some query,Support,high,gaurav
Smart Jewel,ask about gold loss entry ,Support,high,Sajeda
Smart Jewel,Tag Changes,New Req,Med,sarika
Smart Jewel,style code history issue and inward file export issue,Support,V.Urgent,krishna
Smart Jewel,bag print report issue,Report,Low,Jagruti
Smart Jewel,approval report issue,Support,high,Jagruti
Smart Jewel,entry issue,Support,high,sarika
SJE Plus,Report data Issue,Report,Low,yogita
SJE Plus,inward entry save issue,Support,high,yogita
SJE Plus,in job work receive company name not show,Report,Low,yogita
Smart Jewel,bill igst add issue and tax invoice report some error,Report,Med,drashti
SJE Plus,bag merge issue,Support,high,jaytur
SJE Plus,client wise due report error,Support,high,Heta
Smart Jewel,date extend,Support,high,yogita
Smart Jewel,software slow,Support,high,vipul
Smart Jewel,software close,Support,V.Urgent,Heta
SJE Plus,diamond quality change in bag print  issue,Report,Low,drashti
SJE Plus,party pending qt merge issue,Support,V.Urgent,krishna
SJE Plus,in quotation order pending items summery report add ,Report,Low,drashti
Smart Jewel,return diamond error as per whats app,Support,high,Sajeda
Smart Jewel,client due report issue and chain weight issue ,Support,high,sarika
SJE Plus,book make ,Support,high,yogita
Smart Jewel,branch file import details not show,Support,high,sarika
SJE Plus,software close,Support,high,Sajeda
SJE Plus,ask about sew size,Support,high,krishna
Smart Jewel,party order issue,Support,high,sarika
SJE Plus,self inward tag remove,Support,high,jaytur
SJE Plus,po. number add,Support,high,Sajeda
SJE Plus,approval issue,Support,high,sarika
Smart Jewel,quotation report image issue,Report,Low,drashti
SJE Plus,Bag print modification,Report,Low,drashti
SJE Plus,New report create ,Report,Low,drashti
Smart Jewel,log in issue,Support,V.Urgent,yogita
Smart Jewel,tag print issue,Tag,high,Heta
Smart Jewel,software update,Support,high,yogita
Smart Jewel,image not show  in order issue,Support,high,sarika
Smart Jewel,sales invoice issue,Report,Low,drashti
Smart Jewel,ask about component entry issue ,Support,high,shubham
Smart Jewel,diamond stock issue,Support,high,Sajeda
Smart Jewel,excel export issue,Support,high,vipul
Smart Jewel,issue return format issue,Report,Low,drashti
Smart Jewel,department show issue,Support,high,Sajeda
Smart Jewel,software update issue,Report,Low,yogita
Smart Jewel,packing list excel row add issue,Report,Low,Heta
SJE Plus,opening stock issue,Support,V.Urgent,gaurav
Smart Jewel,employ name enable issue,Support,high,vipul
Smart Jewel,final quotation image not show in print,Support,high,vipul
Smart Jewel,software close,Support,high,yogita
Smart Jewel,print format issue,Report,Low,Jagruti
Smart Jewel,software close,Support,V.Urgent,krishna
Smart Jewel,software close,Support,V.Urgent,Jagruti
Smart Jewel,software installation,Support,V.Urgent,yogita
Smart Jewel,order deferent issue As Per Mail,Support,high,sarika
Smart Jewel,jewelry sales report changes issue,Support,high,prakash
Smart Jewel,make new report ,Report,Low,Jagruti
SJE Plus,entry level issue,Support,high,krishna
Smart Jewel,software installation,Support,V.Urgent,drashti
Smart Jewel,report change issue,Report,Low,Jagruti
Smart Jewel,ask about diamond stock use issue,Support,high,sarika
Smart Jewel,voucher print issue,Report,Low,drashti
Smart Jewel,tag print issue,Report,Low,Heta
Smart Jewel,stock in out training issue ,Support,high,shubham
SJE Plus,software install ,Support,high,yogita
Smart Jewel,gst not add issue,Support,high,krishna
Smart Jewel,software installation,Support,high,yogita
Smart Jewel,main master issue,Support,high,vipul
Smart Jewel,tearm master edit option not show,Support,high,Heta
SJE Plus,In Tools sale Jewelry Customer Not Getting,New Req,Med,sarika
SJE Plus,Pls call for bag print query aS Per Mail,Report,Low,sarika
Smart Jewel,sc category open issue,Support,high,Sajeda
Smart Jewel,bank and cash entry issue,Support,V.Urgent,krishna
SJE Plus,recovery issue,Support,high,shubham
Smart Jewel,Tag changes issue,Support,high,krishna
Smart Jewel,labor  bill issue,Report,Low,Jagruti
Smart Jewel,software close,Support,V.Urgent,yogita
Smart Jewel,Master Bag New books and explain,Support,high,Sajeda
Smart Jewel,design report issue,Support,high,shubham
Smart Jewel,refunding entry issue,Support,high,krishna
Smart Jewel,rate set up making set up issue,Support,high,Sajeda
Smart Jewel,software close,Support,V.Urgent,yogita
Smart Jewel,stone issue,Support,high,krishna
Smart Jewel,client wise due report issue,Support,high,jaytur
Smart Jewel,sales diamond issue,Support,high,drashti
Smart Jewel,software install ,Support,high,yogita
Smart Jewel,entry issue,Support,high,prakash
Smart Jewel,ask about party gold report ,Support,high,Sajeda
Smart Jewel,raw marital stock issue,Support,V.Urgent,sarika
Smart Jewel,vpn server log in issue ,Support,high,vipul
SJE Plus,"New Tablet Purchased So,First Time Tablet Data Generate From Sjeplus",New Req,Med,sarika
SJE Plus,Tools Query,Support,V.Urgent,sarika
SJE Plus,Tag issue,Tag,high,drashti
Smart Jewel,print preview report issue,Report,Low,drashti
Smart Jewel,diamond shape  issue,Support,high,Sajeda
Smart Jewel,export invoice weight issue,Report,Low,Jagruti
Smart Jewel,cut off issue,Support,high,ashit
Smart Jewel,party right job work issue,Support,high,sarika
Smart Jewel,print issue,Report,Low,Heta
Smart Jewel,bill changes issue,Report,Low,Jagruti
Smart Jewel,bag issue return report changes issue,Report,Low,Heta
Smart Jewel,bill type tik mark issue,Report,Low,drashti
Smart Jewel,Clint  master tik mark issue ,Support,V.Urgent,gaurav
Smart Jewel,slid show issue,Support,high,Sajeda
Smart Jewel,installation,Support,high,yogita
Smart Jewel,user name not show in bill,Report,Low,yogita
Smart Jewel,Leger report issue and bag print set up issue ,Report,Low,Jagruti
Smart Jewel,book create  party issue,Support,high,yogita
Smart Jewel,order pales issue,Support,high,sarika
Smart Jewel,inward issue,Support,high,Heta
Smart Jewel,style master designer name add issue,Support,high,jaytur
Smart Jewel,daily desk report karagar name remove issue,Report,Low,krishna
Smart Jewel,backup restore ,Support,V.Urgent,yogita
Smart Jewel,off line set up slide show issue,Support,high,krishna
Smart Jewel,ask about sew diamond return issue,Support,high,krishna
SJE Plus,How to Gold rate cut in one entry by metal received and amount receivable as per mail,Support,high,krishna
Smart Jewel,bag finalize issue,Support,high,shubham
Smart Jewel,diamond voucher issue,Report,Low,drashti
SJE Plus,back up install issue,Support,high,sarika
SJE Plus,10% loss issue,Support,high,yogita
Smart Jewel,branch file issue,Support,high,yogita
Smart Jewel,software install ,Support,high,yogita
Smart Jewel,bag fg issue,Support,high,drashti
Smart Jewel,sales report update,Report,Low,Jagruti
Smart Jewel,diamond wise report issue,Report,Low,Jagruti
Smart Jewel,opening upload date change issue,Support,high,krishna
Smart Jewel,loss recovery issue,Support,high,shubham
Smart Jewel,report issue,Report,Low,Jagruti
Smart Jewel,ask about main master issue,Support,high,yogita
SJE Plus,style master name changes in report,Report,Low,drashti
Smart Jewel,printer install issue,Report,Low,Sajeda
Smart Jewel,balance material report issue,Support,high,sarika
Smart Jewel,ask about simple and ad jewelry convert issue,Support,high,jaytur
Smart Jewel,ask about diamond return issue,Support,high,Sajeda
Smart Jewel,Cutoff + Migration,New Req,Med,sarika
Smart Jewel,style master book create issue,Support,high,sarika
Smart Jewel,color stone rate not show in bill,Support,high,Sajeda
Smart Jewel,new department open issue,Support,high,sarika
SJE Plus,loss recovery report issue,Support,high,Sajeda
Smart Jewel,report changes,Report,Low,Jagruti
SJE Plus,entry update issue,Support,high,Sajeda
SJE Plus,approval voucher pure gold value issue,Report,Low,drashti
Smart Jewel,master file import ,Support,high,sarika
Smart Jewel,diamond report amount not show,Report,Low,Jagruti
SJE Plus,installation,Support,high,yogita
Smart Jewel,image report issue,Report,Low,drashti
Smart Jewel,new server need,Support,high,yogita
Smart Jewel,diamond bagging format layout  issue,Report,Low,yogita
Smart Jewel,mail sent issue,Support,V.Urgent,Sajeda
Smart Jewel,software close,Support,V.Urgent,Sajeda
Smart Jewel,lager print amount show and memo proses report issue and stock leger party name not show ,Report,Low,Jagruti
SJE Plus,node installation,Support,high,drashti
SJE Plus,installation,Support,high,yogita
Smart Jewel,net weight option default issue and image issue,Support,high,yogita
Smart Jewel,log in issue,Support,V.Urgent,yogita
SJE Plus,brand name not show in wip report,Report,Low,krishna
SJE Plus,in report usd remove,Report,Low,krishna
Smart Jewel,tax issue,Support,high,sarika
SJE Plus,software close,Support,high,Sajeda
Smart Jewel,software close,Support,high,yogita
Smart Jewel,diamond weight not show in report  ,Report,Low,yogita
SJE Plus,server time issue,Support,high,Sajeda
Smart Jewel,estimate report rate change issue,Report,Low,Jagruti
Smart Jewel,log in issue,Support,V.Urgent,yogita
Smart Jewel,bag format not show in print ,Report,Low,Jagruti
SJE Plus,new year generate ,Support,high,Sajeda
Smart Jewel,account report issue and production purchase issue and due report issue,Support,high,sarika
SJE Plus,bag generate issue,Support,high,jaytur
Smart Jewel,report layout image issue,Report,Low,drashti
SJE Plus,report changes,Report,Low,Jagruti
Smart Jewel,gold not show in labor ,Support,high,Sajeda
Smart Jewel,customer order issue,Support,high,krishna
Smart Jewel,manufacturing issue and openning issue,Support,high,Sajeda
Smart Jewel,cartificate rate not show in print ,Report,Low,Sajeda
SJE Plus,labor set issue,Support,high,yogita
Smart Jewel,software connect,Support,high,yogita
Smart Jewel,bag transfer right issue ,Support,high,ashit
SJE Plus,style master searching issue,Support,high,sarika
SJE Plus,certificate change issue and,Report,Low,Jagruti
SJE Plus,in labour invoice handling charges print issue as per whats app group,Report,Low,drashti
Smart Jewel,ask about bag finalize issue,Support,V.Urgent,sarika
Smart Jewel,slid show issue,Support,high,shubham
SJE Plus,back up restore issue,Support,high,yogita
Smart Jewel,print issue,Report,Low,Jagruti
Smart Jewel,metal add in layout bag print,Report,Low,drashti
Smart Jewel,diamond purchase memo print changes issue ,Report,Low,Jagruti
Smart Jewel,style master 10 caret jewelry add issue,Support,high,Sajeda
Smart Jewel,admin password reset,Support,high,yogita
SJE Plus,leger entry issue ,Support,high,shubham
SJE Plus,settlement entry level issue,Support,high,shubham
Smart Jewel,print preview packing invoice issue,Report,Low,Jagruti
Smart Jewel,gold balance leger issue and old back up install issue ,Support,high,sarika
SJE Plus,sms not sent,Support,high,Sajeda
SJE Plus,Kalista Jewels New Setup And Update Tomorrow Morning,New Req,Med,sarika
Smart Jewel, ask about production delivery date ,Support,high,krishna
Smart Jewel,bar code issue,Support,high,krishna
Smart Jewel,in bill size add,Support,high,shubham
Smart Jewel,purchase tcs tax cancel issue ,Support,V.Urgent,jaytur
Smart Jewel,server close,Support,V.Urgent,Jagruti
Smart Jewel,tag print problem,Report,Low,krishna
Smart Jewel,software close,Support,V.Urgent,yogita
Smart Jewel,tag print item po no add issue,Report,Low,yogita
Smart Jewel,self inward entry level issue,Support,high,Jagruti
SJE Plus,importer issue,Support,high,krishna
Smart Jewel,Gold Report issue,Support,high,Sajeda
Smart Jewel,software close,Support,high,yogita
SJE Plus,making charges wastage option not show,Support,high,sarika
Smart Jewel,bill amount issue,Report,Low,Jagruti
SJE Plus,certificate color not show,Report,Low,yogita
Smart Jewel,bag movement issue,Report,Low,drashti
Smart Jewel,metal purchase report making ,Report,Low,drashti
SJE Plus,software update,Support,V.Urgent,yogita
Smart Jewel,software installation,Support,V.Urgent,yogita
Smart Jewel,printing format setup issue,Report,Low,drashti
Smart Jewel, and entry issue,Support,high,jaytur
Smart Jewel,color stone details add,Support,high,krishna
Smart Jewel,item master color code issue,Support,high,ashit
Smart Jewel,date extant issue,Support,V.Urgent,drashti
Smart Jewel,file import issue,Support,high,krishna
SJE Plus,rate chart and bag generate issue,Support,high,shubham
Smart Jewel,style purchase delete,Support,high,shubham
Smart Jewel,book open issue,Support,high,shubham
Smart Jewel,item rapier entry issue,Support,high,jaytur
Smart Jewel,ask about bag finalize,Support,high,jaytur
SJE Plus,memo out ward print issue,Report,Low,Jagruti
Smart Jewel,labor close issue,Support,high,krishna
Smart Jewel,bag status issue,Support,high,sarika
Smart Jewel,stone - purchase issue,Support,high,krishna
Smart Jewel,material stock report ,Support,high,krishna
Smart Jewel,material stock issue,Support,high,Sajeda
Smart Jewel,lay out charges issue in report ,Report,Low,Heta
Smart Jewel,purchase book gst not show ,Support,high,krishna
SJE Plus,Installation,Support,high,krishna
Smart Jewel,bank entry delete issue ,Support,high,Krupa
Smart Jewel,sew size issue ,Support,high,Jagruti
Smart Jewel,packing list value issue,Report,Low,Heta
SJE Plus,print error,Report,Low,Jagruti
SJE Plus,software close,Support,high,yogita
Smart Jewel,jewelry inward fix  report issue,Report,Low,Sajeda
Smart Jewel,software update,Support,V.Urgent,yogita
Smart Jewel,collection and sub category issue in fix report,Support,high,Sajeda
SJE Plus,style master image option issue,Support,high,sarika
Smart Jewel,fg issue,Support,high,sarika
Smart Jewel,certificate no issue in split,Support,high,shubham
Smart Jewel,baes metal not show in invoice,Report,Low,drashti
Smart Jewel,ask about karigar jewelry issue ,Support,high,krishna
Smart Jewel,installation,Support,V.Urgent,yogita
Smart Jewel,new year generate,Support,high,krishna
SJE Plus,software close,Support,V.Urgent,Heta
Smart Jewel,tag and repairing issue,Support,high,krishna
Smart Jewel,statement effect issue,Support,high,krishna
Smart Jewel,tag printing issue,Report,Low,Jagruti
Smart Jewel,diamond and color stone labor invoice issue,Report,Low,Heta
Smart Jewel,party grouping issue,Support,high,Sajeda
Smart Jewel,approval issue,Support,high,krishna
Smart Jewel,sales return gst issue,Support,high,yogita
Smart Jewel,stock inward issue,Support,high,shubham
Smart Jewel,scrap recovery issue,Support,high,sarika
Smart Jewel,software close,Support,high,shubham
Smart Jewel,software update,Support,high,yogita
SJE Plus,party code size receive issue,Support,high,shubham
Smart Jewel,refined report issue,Support,high,jaytur
Smart Jewel,gst invoice issue,Report,Med,drashti
Smart Jewel,card print format changes issue,Report,Low,Heta
SJE Plus,bag finalise problem and tag problem,Support,high,sarika
Smart Jewel,loan interest and ledger with stock issue,Support,high,jaytur
SJE Plus,style master peaces total problem,Support,high,krishna
SJE Plus,tag problem,Support,high,jaytur
Smart Jewel,invoice tax issue,Report,Low,Jagruti
Smart Jewel,tax invoice issue,Report,Low,drashti
Smart Jewel,inward jewellery manufacturing add,Support,high,sarika
Smart Jewel,purchase retune gst add,Support,high,krishna
SJE Plus,database suspect,Support,high,sarika
Smart Jewel,gold recovery issue,Support,high,krishna
SJE Plus,Nex Tag Partycode Add,New Req,Med,sarika
Smart Jewel,memo issue,Support,high,sarika
SJE Plus,export invoice format sat,Report,Low,Heta
Smart Jewel,back up restore,Support,V.Urgent,shubham
Smart Jewel,packing list labour issue,Support,high,krishna
SJE Plus,memo product quality change,Support,high,krishna
Smart Jewel,software close,Support,V.Urgent,Sajeda
Smart Jewel,estimate invoice find rete issue,Report,Low,drashti
SJE Plus,log in issue,Support,high,shubham
SJE Plus,tag problem,Support,high,sarika
SJE Plus,stock check,Support,high,krishna
SJE Plus,packing list format sat,Report,Low,Jagruti
Smart Jewel,software close,Support,V.Urgent,Heta
SJE Plus,back up problem,Support,high,yogita
Smart Jewel,tag problem,Support,V.Urgent,yogita
Smart Jewel,stock item excel export issue ,Support,high,Heta
SJE Plus,memo print issue,Report,Low,Heta
SJE Plus,Quatation Report Print In Data Worng,Report,Low,yogita
SJE Plus,image issue,Support,high,yogita
SJE Plus,purchase issue,Support,high,krishna
Smart Jewel,Inward Stock type change,Support,high,Heta
SJE Plus,jewellery inward error,Support,high,Heta
SJE Plus,jewellery purchase book make,Support,high,shubham
SJE Plus,estimate and tax invoice issue,Report,Low,drashti
